"Routing number State City Zip Code Address Phone number "

Routing numbers of 1st Constitution Bank
021207154,New Jersey,Cranbury,08512,2nd Floor,(609) 578-4401
021213504,New Jersey,Cranbury,08512,2nd Floor,(609) 578-4401

Routing numbers of 1st Bergen Federal Credit Union
021283916,New Jersey,Hackensack,07601,241 Moore Street,(201) 342-5189

Routing numbers of 1st Colonial National Bank
031207869,New Jersey,Cherry Hill,08002,Suite 300,(856) 858-2063

Routing numbers of 1st Liberty B & T Div of Comm Bk N.A
031305185,New York,Canton,13617,91 Main Street,(315) 379-4545
031312026,New York,Canton,13617,91 Main Street,(315) 379-4545

Routing numbers of 1st Summit Bank
031316815,Pennsylvania,Johnstown,15904,125 Donald Lane,(814) 262-4000

Routing numbers of 1st Trust Bank Inc
042108449,Kentucky,Hazard,41701,P. O. Box 1059,(606) 435-2265

Routing numbers of 1st National Bank
042208006,Ohio,Lebanon,45036,Po. Box 119,(513) 932-3221
113117204,Ohio,Lebanon,45036,Po. Box 119,(513) 932-3221

Routing numbers of 1st United Natl Bk
043311662,Pennsylvania,Fryburg,16326,19535 Route 208,(814) 354-7311

Routing numbers of 1880 Bank
052100466,Maryland,Cambridge,21613-1827,304 High St,(410) 228-5600
052102516,Maryland,Cambridge,21613-1827,304 High St,(410) 228-5600

Routing numbers of 1st St Bk Randolph Cty
061204094,Georgia,Cuthbert,39840,81 Court Street,(229) 732-3791

Routing numbers of 1st Community Div Synovus Bk
061211809,Georgia,Columbus,31901,500 11th Street,(800) 334-9007

Routing numbers of 1st Commercial Div Synovus Bk
062003605,Georgia,Columbus,31901,500 11th Street,(800) 334-9007
062203515,Georgia,Columbus,31901,500 11th Street,(800) 334-9007
262084356,Georgia,Columbus,31901,500 11th Street,(800) 334-9007

Routing numbers of 1st Progressive Bk
062103000,Alabama,Brewton,36427,Po Box 1267,(251) 867-7706

Routing numbers of 1st Jasper Div Synovus Bk
062201274,Georgia,Columbus,31901,500 11th Street,(800) 334-9007

Routing numbers of 1st Tn Bk N A Cookeville
064101903,Tennessee,Cookeville,38501,345 South Jefferson,(901) 542-7038

Routing numbers of 1st Tn Bk N A Murfreesboro
064108249,Tennessee,Memphis,38118,3451 Prescott Rd,(901) 542-7038

Routing numbers of 1st Trust & Sav Bk
071105756,Illinois,Watseka,60970,P O Box 160,(815) 432-2494

Routing numbers of 1st Community Bank
071109037,Illinois,Aledo,61231-0147,1803 Se 3rd St,(309) 582-3531

Routing numbers of 1st Security Bk
071109655,Illinois,Mackinaw,61755-0290,Po Box 290,(309) 359-3961

Routing numbers of 1st Nat'l of Arenzville
071110521,Illinois,Arenzville,62611,110 S Charles St,(217) 997-5585

Routing numbers of 1st State Bk-forrest
071113049,Illinois,Forrest,61741-0999,133 E Krack St,(815) 657-8248

Routing numbers of 1st State Bank of Van Orin
071119975,Illinois,Van Orin,61374,27875 2600 E St,(815) 638-2111

Routing numbers of 1st State Bank of Bloomington
071124371,Illinois,Bloomington,61704,204 N Prospect Road,(309) 662-0411

Routing numbers of 1st St Bank Porter
071211734,Indiana,Porter,46304,230 Lincoln St,(219) 926-2136

Routing numbers of 1st Source Bank
071212128,Indiana,South Bend,46634,Po Box 1602,(574) 235-2270

Routing numbers of 1st Natl Manhattan
071910776,Illinois,Manhattan,60442,P O Box 85,(815) 478-4611

Routing numbers of 1st Secur Tr & Svg Bk
071921985,Illinois,Elmwood Park,60707,7315 W Grand Ave,(708) 453-3131

Routing numbers of 1st Amer Bk
071922777,Illinois,Elk Grove,60007,700 Busse Rd.,(847) 952-3200

Routing numbers of 1st Equity Bank
071925693,Illinois,Skokie,60076,3956 West Dempster Street,(847) 676-9200

Routing numbers of 1st Equity Bank Northwest
071926333,Illinois,Buffalo Grove,60089,1330 W Dundee,(847) 253-5200

Routing numbers of 1st State Bank
072414158,Michigan,Saginaw,48604,Ste 100,(989) 272-7589
103109390,Michigan,Saginaw,48604,Ste 100,(989) 272-7589

Routing numbers of 1st Security State Bank
073922377,Iowa,Evansdale,50707-0008,3600 Lafayette Rd,(319) 235-6731

Routing numbers of 1st Merchants Bk of Central Ind N.A.
074906729,Indiana,Daleville,47334,Po Box 549,(800) 205-3464

Routing numbers of 1st Farmers Bank & Trust
074911578,Indiana,Converse,46919-0690,Po Box 690,(765) 395-3316

Routing numbers of 1st National Bank/Darlington
075905457,Wisconsin,Darlington,53530,Po Box 50,(608) 776-4071

Routing numbers of 1st American Bank
075912877,Illinois,Elk Grove,60007,700 Busse Rd.,(847) 952-3200

Routing numbers of 1st Advantage Bank
081019120,Missouri,St. Peters,63376,240 Salt Lick Road,(636) 970-0440

Routing numbers of 1st State Bk
081211106,Illinois,St. Peter,62880-0127,P.O. Box 127,(618) 349-8343
081212613,Illinois,St. Peter,62880-0127,P.O. Box 127,(618) 349-8343
081220508,Illinois,St. Peter,62880-0127,P.O. Box 127,(618) 349-8343
103103503,Illinois,St. Peter,62880-0127,P.O. Box 127,(618) 349-8343

Routing numbers of 1st Bank of The Lake
081505634,Missouri,Osage Beach,65065,Suite 100,(573) 348-2265

Routing numbers of 1st Missouri State Bank of Cape Cty
081519219,Missouri,Cape Girardeau,63703,2 South Mount Auburn Road,(573) 334-9000

Routing numbers of 1st Natl Bk
031204804,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
061101184,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
061204735,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
067005873,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
071106593,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
071113984,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
071122687,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
071902399,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
071903929,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
071905943,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
073900755,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
073901479,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
081206962,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
081909722,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
081918182,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
091204750,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
091205063,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
091310770,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
091901477,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
091914273,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300
111913060,New Jersey,Absecon,08201-2409,P.O. Box 324,(609) 641-6300

Routing numbers of 1st Financial Bank Usa
091404466,South Dakota,Dupree,57623,Po Box 98,(605) 365-5191
091409791,South Dakota,Dupree,57623,Po Box 98,(605) 365-5191

Routing numbers of 1st Cameron State Bank
101201601,Missouri,Cameron,64429-0465,P.O. Box 465,(816) 632-7272

Routing numbers of 1st Bank In Hominy
103104641,Oklahoma,Hominy,74035,117 N.  Price,(918) 885-2161

Routing numbers of 1st Bank & Trust
103112659,Oklahoma,Broken Bow,74728,710 S Park Drive,(580) 584-9123

Routing numbers of 1st Capital Bank
121144612,California,Salinas,93901,Suite 150,(831) 264-4023

Routing numbers of 1st Bank Yuma
122105906,Arizona,Yuma,85364,2799 S. 4th Ave,(928) 783-3334

"Routing numbers of 1st Century Bk, Div of Midfirst Bk"
122243761,Oklahoma,Oklahoma City,73147-2149,P O Box 76149,(877) 516-2777

Routing numbers of 1st Baptist Church Fcu
221174430,Connecticut,Stratford,06497,1301 Stratford Avenue,(203) 378-9228

Routing numbers of 1199 Seiu Federal Credit Union
226077862,New York,New York,10036,310 West 43rd Street 2nd Fl,(212) 957-4785

Routing numbers of 1st Bank of Sea Isle City
231271242,New Jersey,Sea Isle City,08243,4301 Landis Ave.,(609) 263-4102

Routing numbers of 1st Ed Credit Union
231379966,Pennsylvania,Chambersburg,17201,1156 Kennebec Drive,(717) 264-6506

Routing numbers of 1st Area Fcu
231382092,Pennsylvania,Lewistown,17044,23 S. Dorcas Street,(717) 248-5103

Routing numbers of 1st Federal Bank of Ohio
241271041,Ohio,Galion,44833-0957,140 N Columbus Street,(419) 468-1518

Routing numbers of 1st Advantage Federal Credit Union
251480563,Virginia,Yorktown,23693,110 Cybernetics Way,(757) 877-2444
251483421,Virginia,Yorktown,23693,110 Cybernetics Way,(757) 877-2444

Routing numbers of 1st S&l Asn
253170936,North Carolina,Mebane,27302,206 W Center Street,(919) 563-9231

"Routing numbers of 1st Federal Savings Bank of Sc, Inc"
